code,city,district,neighborhood,latitude,longitude
NONE,경기도,고양시,덕양구,37.6329,126.8325
NONE,경기도,고양시,일산동구,37.6583,126.7863
NONE,경기도,고양시,일산서구,37.6739,126.7501
NONE,경기도,용인시,처인구,37.2337,127.2010
NONE,경기도,용인시,기흥구,37.2801,127.1152
NONE,경기도,용인시,수지구,37.3219,127.0969
NONE,경기도,의정부시,NONE,37.7387,127.0419
NONE,경기도,광명시,NONE,37.4794,126.8646
NONE,경기도,평택시,NONE,36.9892,127.1128
NONE,경기도,동두천시,NONE,37.9036,127.0612
NONE,경기도,과천시,NONE,37.4292,126.9877
NONE,경기도,구리시,NONE,37.5943,127.1297
NONE,경기도,남양주시,NONE,37.6363,127.2165
NONE,경기도,오산시,NONE,37.1490,127.0772
NONE,경기도,시흥시,NONE,37.3799,126.8031
NONE,경기도,군포시,NONE,37.3612,126.9349
NONE,경기도,의왕시,NONE,37.3447,126.9683
NONE,경기도,하남시,NONE,37.5394,127.2144
NONE,경기도,안성시,NONE,37.0080,127.2797
NONE,경기도,김포시,NONE,37.6153,126.7153
NONE,경기도,화성시,NONE,37.1995,126.8311
NONE,경기도,광주시,NONE,37.4294,127.2549
NONE,경기도,양주시,NONE,37.7855,127.0457
NONE,경기도,포천시,NONE,37.8949,127.2004
NONE,경기도,여주시,NONE,37.2983,127.6358
NONE,경기도,연천군,NONE,38.0965,127.0748
NONE,경기도,가평군,NONE,37.8315,127.5106
NONE,경기도,양평군,NONE,37.4918,127.4873
NONE,강원특별자치도,춘천시,NONE,37.8813,127.7300
NONE,강원특별자치도,원주시,NONE,37.3422,127.9200
NONE,강원특별자치도,강릉시,NONE,37.7519,128.8760
NONE,강원특별자치도,동해시,NONE,37.5247,129.1142
NONE,강원특별자치도,태백시,NONE,37.1665,128.9886
NONE,강원특별자치도,속초시,NONE,38.2070,128.5918
NONE,강원특별자치도,삼척시,NONE,37.4499,129.1679
NONE,강원특별자치도,홍천군,NONE,37.6970,127.8886
NONE,강원특별자치도,횡성군,NONE,37.4917,127.9850
NONE,강원특별자치도,영월군,NONE,37.1836,128.4617
NONE,강원특별자치도,평창군,NONE,37.3704,128.3923
NONE,강원특별자치도,정선군,NONE,37.3809,128.6611
NONE,강원특별자치도,철원군,NONE,38.1466,127.3138
NONE,강원특별자치도,화천군,NONE,38.1058,127.7080
NONE,강원특별자치도,양구군,NONE,38.1100,127.9900
NONE,강원특별자치도,인제군,NONE,38.0694,128.1706
NONE,강원특별자치도,고성군,NONE,38.3798,128.4704
NONE,강원특별자치도,양양군,NONE,38.0753,128.6194
NONE,충청북도,청주시,상당구,36.6349,127.4894
NONE,충청북도,청주시,서원구,36.6385,127.4661
NONE,충청북도,청주시,흥덕구,36.6428,127.4323
NONE,충청북도,청주시,청원구,36.6499,127.4840
NONE,충청북도,충주시,NONE,36.9911,127.9259
NONE,충청북도,제천시,NONE,37.1324,128.1910
NONE,충청북도,보은군,NONE,36.4894,127.7292
NONE,충청북도,옥천군,NONE,36.3066,127.5713
NONE,충청북도,영동군,NONE,36.1748,127.7833
NONE,충청북도,증평군,NONE,36.7852,127.5814
NONE,충청북도,진천군,NONE,36.8548,127.4355
NONE,충청북도,괴산군,NONE,36.8151,127.7868
NONE,충청북도,음성군,NONE,36.9400,127.6903
NONE,충청북도,단양군,NONE,36.9845,128.3654
NONE,충청남도,천안시,동남구,36.8151,127.1135
NONE,충청남도,천안시,서북구,36.8472,127.1235
NONE,충청남도,공주시,NONE,36.5635,127.1195
NONE,충청남도,보령시,NONE,36.3495,126.6032
NONE,충청남도,아산시,NONE,36.7926,127.0018
NONE,충청남도,서산시,NONE,36.7849,126.4502
NONE,충청남도,논산시,NONE,36.1872,127.0987
NONE,충청남도,계룡시,NONE,36.2746,127.2487
NONE,충청남도,당진시,NONE,36.8900,126.6461
NONE,충청남도,금산군,NONE,36.1085,127.4877
NONE,충청남도,부여군,NONE,36.2755,126.9097
NONE,충청남도,서천군,NONE,36.0804,126.6914
NONE,충청남도,청양군,NONE,36.4589,126.8020
NONE,충청남도,홍성군,NONE,36.6012,126.6517
NONE,충청남도,예산군,NONE,36.6809,126.8448
NONE,충청남도,태안군,NONE,36.7456,126.2980
NONE,전북특별자치도,전주시,완산구,35.8142,127.1115
NONE,전북특별자치도,전주시,덕진구,35.8460,127.1342
NONE,전북특별자치도,군산시,NONE,35.9674,126.7366
NONE,전북특별자치도,익산시,NONE,35.9483,126.9576
NONE,전북특별자치도,정읍시,NONE,35.5697,126.8558
NONE,전북특별자치도,남원시,NONE,35.4164,127.3896
NONE,전북특별자치도,김제시,NONE,35.8038,126.8811
NONE,전북특별자치도,완주군,NONE,35.8913,127.1515
NONE,전북특별자치도,진안군,NONE,35.7917,127.4250
NONE,전북특별자치도,무주군,NONE,36.0068,127.6610
NONE,전북특별자치도,장수군,NONE,35.6473,127.5211
NONE,전북특별자치도,임실군,NONE,35.6180,127.2792
NONE,전북특별자치도,순창군,NONE,35.3743,127.1379
NONE,전북특별자치도,고창군,NONE,35.4358,126.7020
NONE,전북특별자치도,부안군,NONE,35.7317,126.7355
NONE,전라남도,목포시,NONE,34.8112,126.3922
NONE,전라남도,여수시,NONE,34.7604,127.6622
NONE,전라남도,순천시,NONE,34.9506,127.4872
NONE,전라남도,나주시,NONE,35.0156,126.7105
NONE,전라남도,광양시,NONE,34.9406,127.6958
NONE,전라남도,담양군,NONE,35.3213,126.9877
NONE,전라남도,곡성군,NONE,35.2820,127.2919
NONE,전라남도,구례군,NONE,35.2025,127.4615
NONE,전라남도,고흥군,NONE,34.6112,127.2748
NONE,전라남도,보성군,NONE,34.7714,127.0799
NONE,전라남도,화순군,NONE,35.0645,126.9862
NONE,전라남도,장흥군,NONE,34.6815,126.9068
NONE,전라남도,강진군,NONE,34.6420,126.7674
NONE,전라남도,해남군,NONE,34.5733,126.5989
NONE,전라남도,영암군,NONE,34.8002,126.6967
NONE,전라남도,무안군,NONE,34.9904,126.4816
NONE,전라남도,함평군,NONE,35.0659,126.5165
NONE,전라남도,영광군,NONE,35.2777,126.5120
NONE,전라남도,장성군,NONE,35.3018,126.7845
NONE,전라남도,완도군,NONE,34.3110,126.7550
NONE,전라남도,진도군,NONE,34.4868,126.2633
NONE,전라남도,신안군,NONE,34.8339,126.0814
NONE,경상북도,포항시,남구,36.0199,129.3434
NONE,경상북도,포항시,북구,36.0410,129.3650
NONE,경상북도,경주시,NONE,35.8562,129.2246
NONE,경상북도,김천시,NONE,36.1398,128.1135
NONE,경상북도,안동시,NONE,36.5684,128.7294
NONE,경상북도,구미시,NONE,36.1195,128.3445
NONE,경상북도,영주시,NONE,36.8058,128.6242
NONE,경상북도,영천시,NONE,35.9727,128.9377
NONE,경상북도,상주시,NONE,36.4109,128.1592
NONE,경상북도,문경시,NONE,36.5858,128.1875
NONE,경상북도,경산시,NONE,35.8252,128.7421
NONE,경상북도,군위군,NONE,36.2428,128.5728
NONE,경상북도,의성군,NONE,36.3527,128.6970
NONE,경상북도,청송군,NONE,36.4361,129.0571
NONE,경상북도,영양군,NONE,36.6667,129.1122
NONE,경상북도,영덕군,NONE,36.4150,129.3659
NONE,경상북도,청도군,NONE,35.6472,128.7341
NONE,경상북도,고령군,NONE,35.7266,128.2628
NONE,경상북도,성주군,NONE,35.9190,128.2830
NONE,경상북도,칠곡군,NONE,35.9956,128.4019
NONE,경상북도,예천군,NONE,36.6577,128.4535
NONE,경상북도,봉화군,NONE,36.8927,128.7325
NONE,경상북도,울진군,NONE,36.9932,129.4005
NONE,경상북도,울릉군,NONE,37.4844,130.9038
NONE,경상남도,창원시,의창구,35.2521,128.6400
NONE,경상남도,창원시,성산구,35.2223,128.6963
NONE,경상남도,창원시,마산합포구,35.1967,128.5669
NONE,경상남도,창원시,마산회원구,35.2204,128.5790
NONE,경상남도,창원시,진해구,35.1331,128.7101
NONE,경상남도,진주시,NONE,35.1795,128.1076
NONE,경상남도,통영시,NONE,34.8544,128.4331
NONE,경상남도,사천시,NONE,35.0038,128.0642
NONE,경상남도,김해시,NONE,35.2281,128.8812
NONE,경상남도,밀양시,NONE,35.5037,128.7464
NONE,경상남도,거제시,NONE,34.8806,128.6211
NONE,경상남도,양산시,NONE,35.3350,129.0378
NONE,경상남도,의령군,NONE,35.3222,128.2878
NONE,경상남도,함안군,NONE,35.2723,128.4065
NONE,경상남도,창녕군,NONE,35.5448,128.4921
NONE,경상남도,고성군,NONE,34.9730,128.3222
NONE,경상남도,남해군,NONE,34.8376,127.8924
NONE,경상남도,하동군,NONE,35.0670,127.7515
NONE,경상남도,산청군,NONE,35.4156,127.8738
NONE,경상남도,함양군,NONE,35.5202,127.7250
NONE,경상남도,거창군,NONE,35.6864,127.9095
NONE,경상남도,합천군,NONE,35.5666,128.1657
NONE,제주특별자치도,제주시,NONE,33.5000,126.5000
NONE,제주특별자치도,서귀포시,NONE,33.2539,126.5600
